master_run_number,chirp_rate,fraction,CA+_mean,CA+_std_dev,CA+_percentile_0,CA+_percentile_10,CA+_percentile_20,CA+_percentile_30,CA+_percentile_40,CA+_percentile_50,CA+_percentile_60,CA+_percentile_70,CA+_percentile_80,CA+_percentile_90,CA+_percentile_100,CA-_mean,CA-_std_dev,CA-_percentile_0,CA-_percentile_10,CA-_percentile_20,CA-_percentile_30,CA-_percentile_40,CA-_percentile_50,CA-_percentile_60,CA-_percentile_70,CA-_percentile_80,CA-_percentile_90,CA-_percentile_100
15795,-25.0913,0.4780821220206113,4183.440294985251,1986.5546121575107,-3522.0,1682.0,2531.0,3147.0,3674.0,4161.0,4652.0,5167.0,5799.800000000003,6713.0,12955.0,386.9855457227139,658.0650702356343,-27980.0,283.0,315.0,339.0,360.0,376.0,396.0,412.0,436.0,469.0,32767.0
15795,-25.09494,0.5972216198479386,4284.827,2017.21584053524,-3232.0,1733.6000000000004,2603.0,3231.0,3759.0,4262.0,4769.0,5332.0,5944.0,6829.0,12927.0,393.85470588235296,689.683274414616,-18700.0,287.0,319.0,343.0,364.0,380.0,396.0,416.0,440.0,473.0,32767.0
15795,-25.090390000000003,0.6068822589624847,4251.797050147493,2015.7111936084732,-3011.0,1710.0,2559.0,3179.0,3726.0,4262.0,4769.0,5296.0,5916.0,6773.0,13204.0,394.6660766961652,653.1989673698996,52.0,287.0,319.0,343.0,364.0,380.0,396.0,416.0,440.0,473.0,32767.0
15795,-25.09116,0.5421625195837798,4173.091327433628,1989.419790909314,-3112.0,1649.6000000000004,2523.0,3135.0,3674.0,4161.0,4664.0,5199.0,5819.800000000003,6672.0,12452.0,390.8495575221239,695.5291202186114,-25792.0,287.0,319.0,343.0,360.0,380.0,396.0,416.0,440.0,473.0,32767.0
15795,-25.09158,0.4703233533623245,4080.4137647058824,2097.4964111527743,-3844.0,1412.0,2313.2000000000007,2978.0,3561.0,4081.0,4596.0,5147.0,5791.800000000003,6765.0,13353.0,398.15423529411765,664.7002068865357,-4095.0,291.0,323.0,347.0,368.0,384.0,400.0,420.0,445.0,477.0,32767.0
15795,-25.09046,0.6147404986840355,4198.353647058823,2082.1987985254477,-3892.0,1569.0,2471.0,3123.0,3666.0,4165.0,4680.0,5252.0,5944.0,6870.0,12697.0,396.80023529411767,712.6167836427629,-32767.0,291.0,323.0,347.0,368.0,384.0,404.0,420.0,445.0,477.0,32767.0
15795,-25.093680000000003,0.5808916903335778,3725.109882352941,2073.5700198214527,-4163.0,1127.0,1996.0,2643.0,3182.4000000000015,3708.0,4219.0,4781.0,5415.0,6357.4000000000015,12253.0,395.09917647058825,713.5001702785762,-32767.0,296.0,325.0,349.0,369.0,385.0,406.0,422.0,446.0,479.0,32767.0
15795,-25.09284,0.6023353227842139,2965.791176470588,2040.2431988062322,-4547.0,367.0,1296.2000000000007,1927.0,2473.0,2966.0,3467.0,3988.0,4631.800000000003,5528.4000000000015,12488.0,396.9441764705882,712.362113717598,-32767.0,292.0,325.0,345.0,365.0,385.0,402.0,422.0,446.0,479.0,32767.0
15795,-25.094520000000003,0.4990419786187853,4949.643480825958,2037.2027122719473,-2563.0,2372.0,3237.0,3908.0,4425.0,4926.0,5443.0,5993.0,6648.0,7557.0,13130.0,399.2049557522124,666.2612465186676,40.0,292.0,325.0,345.0,365.0,385.0,402.0,422.0,446.0,479.0,32767.0
15795,-25.09389,0.4651068167971942,5749.152294117647,2081.90667252416,-2983.0,3091.0,4013.0,4688.0,5217.0,5751.0,6260.0,6813.0,7472.0,8398.0,15196.0,399.5234705882353,630.2869433667045,-14175.0,292.0,325.0,349.0,369.0,385.0,406.0,426.0,450.0,483.0,32767.0
15795,-25.0927,0.532911397006914,4592.121823529412,2054.2973859506646,-3537.0,1955.6000000000004,2909.0,3564.0,4106.0,4595.0,5088.0,5621.0,6264.800000000003,7197.0,14218.0,393.7655294117647,697.9694800086486,-32767.0,292.0,325.0,349.0,365.0,385.0,402.0,422.0,446.0,479.0,32767.0
15795,-25.090950000000003,0.4448570695616637,3728.0103529411763,2102.6532462886294,-4725.0,1050.0,1980.0,2645.7999999999993,3196.0,3710.0,4236.5999999999985,4797.0,5468.800000000003,6401.0,12496.0,397.78870588235293,669.8744471049837,-32767.0,292.0,325.0,349.0,369.0,385.0,406.0,426.0,446.0,479.0,32767.0
15795,-25.09249,0.4374854236743533,3782.9709734513276,2019.1774397800584,-3897.0,1219.6000000000004,2093.0,2740.0,3293.0,3778.0,4264.5999999999985,4793.0,5419.0,6365.0,12249.0,400.56353982300885,705.9205744332139,-18722.0,292.0,325.0,349.0,369.0,385.0,402.0,422.0,446.0,479.0,32767.0
15795,-25.09004,0.601560966820329,3921.1087315634218,2034.1444611643028,-4264.0,1357.0,2251.0,2869.0,3386.0,3883.0,4405.0,4950.0,5597.0,6510.0,12779.0,393.5719174041298,706.0588305534591,-32767.0,292.0,325.0,345.0,365.0,385.0,402.0,422.0,446.0,479.0,32767.0
15795,-25.09326,0.5614657986455375,5316.380294117647,2086.778895957039,-2421.0,2675.0,3560.0,4239.0,4793.0,5306.0,5815.0,6369.0,7040.0,7981.0,13547.0,397.3864117647059,670.3765332066624,-32767.0,292.0,325.0,349.0,369.0,385.0,406.0,422.0,446.0,479.0,32767.0
15795,-25.09459,0.4222430315886996,3289.9786430678464,2019.2401488037353,-3909.0,703.0,1620.0,2238.0,2776.0,3277.0,3778.0,4325.199999999997,4954.0,5831.0,12152.0,398.2711504424779,653.4331472934798,-25689.0,296.0,325.0,349.0,369.0,385.0,406.0,426.0,446.0,479.0,32767.0
15795,-25.09186,0.4361361057014382,4077.4638823529413,2093.4675355077584,-4414.0,1441.6000000000004,2334.2000000000007,2990.0,3540.0,4053.0,4579.0,5140.0,5791.0,6729.0,13543.0,399.4251764705882,709.7202174023752,-32767.0,296.0,329.0,349.0,369.0,385.0,406.0,426.0,450.0,479.0,32767.0
15795,-25.09298,0.5327887258743013,3878.120882352941,2034.032427073732,-4179.0,1309.0,2194.0,2808.0,3358.0,3875.0,4376.0,4906.0,5524.0,6434.4000000000015,12556.0,392.0635882352941,693.144284710712,-32767.0,292.0,320.0,345.0,365.0,381.0,402.0,422.0,442.0,475.0,32767.0
15795,-25.09515,0.5505431983105975,4076.0441764705884,2029.8696325542896,-2906.0,1491.0,2372.0,3010.0,3548.0,4057.0,4583.0,5100.0,5755.0,6708.0,14626.0,394.31311764705885,670.2257134408818,-32767.0,288.0,320.0,345.0,365.0,385.0,402.0,422.0,446.0,479.0,32767.0
15795,-25.09438,0.5934419715179066,4510.572743362832,2004.5950778018341,-3638.0,2007.6000000000004,2829.0,3447.0,3980.0,4473.0,4975.0,5540.0,6167.0,7036.0,13147.0,397.6480825958702,646.389050487954,-22658.0,292.0,325.0,349.0,369.0,385.0,402.0,422.0,446.0,479.0,32767.0
15795,-25.09277,0.4371944560825736,4573.851504424779,2019.7534607171385,-3145.0,2011.6000000000004,2881.0,3508.0,4065.0,4566.0,5059.0,5605.0,6240.0,7145.0,13575.0,392.44165191740416,677.7794037191052,-32767.0,292.0,320.0,345.0,365.0,381.0,402.0,422.0,442.0,475.0,32767.0
